Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume
2015-02-22,127.489998,129.5,126.919998,129.5,156992500
2015-03-01,130.020004,133.600006,126.610001,128.460007,368216200
2015-03-08,129.25,130.279999,125.760002,126.599998,177455900
2015-03-15,127.959999,129.570007,121.629997,123.589996,326514100
2015-03-22,125.900002,129.25,125.160004,125.900002,230798600
2015-03-29,126.540001,126.82,122.599998,124.239998,99228100
2015-04-05,124.050003,126.400002,124.0,126.370003,47099700
2015-04-12,,,,,0
2015-04-19,125.550003,126.139999,124.459999,124.75,51957000
2015-04-26,125.57,130.630005,125.169998,130.279999,137351100
2015-05-03,132.309998,134.539993,124.580002,128.949997,420972300
2015-05-10,129.5,130.570007,123.360001,127.620003,271892000
2015-05-17,125.599998,128.949997,124.82,128.949997,93363500
2015-05-24,128.380005,132.970001,128.360001,132.539993,141112100
2015-05-31,132.600006,132.910004,129.119995,130.279999,167415300
2015-06-07,,,,,0
2015-06-14,128.899994,129.210007,125.620003,127.419998,108750200
2015-06-21,126.099998,127.82,125.709999,126.599998,98705800
2015-06-28,127.209999,129.800003,126.510002,126.75,99347700
2015-07-05,125.459999,126.470001,124.480003,125.43,93532100
2015-07-12,125.889999,126.150002,119.220001,123.279999,246884500
2015-07-19,129.080002,129.619995,128.309998,129.619995,46164700
2015-07-26,130.970001,132.970001,121.989998,125.160004,302106700
2015-08-02,123.089996,123.610001,122.120003,122.769997,44455500
2015-08-09,121.5,122.57,112.099998,115.129997,346330200
2015-08-16,116.529999,119.989998,109.629997,115.150002,301787700
2015-08-23,116.099998,116.519997,105.650002,105.760002,244222800
2015-08-30,94.870003,113.309998,92.0,113.290001,500363000
2015-09-06,112.029999,114.529999,107.360001,109.269997,298194200
2015-09-13,111.75,114.209999,109.769997,114.209999,252662700
2015-09-20,116.580002,116.889999,111.870003,113.449997,240102500
2015-09-27,113.669998,116.690002,112.370003,114.709999,206939600
2015-10-04,113.849998,114.57,107.309998,110.379997,313896300
2015-10-11,109.879997,112.279999,108.209999,112.120003,261772800
2015-10-18,111.290001,111.519997,109.559998,110.209999,44462400
2015-10-25,111.339996,119.230003,110.82,119.080002,108145700
2015-11-01,118.080002,121.220001,113.989998,119.5,322362200
2015-11-08,120.790001,123.82,120.699997,122.0,90405100
2015-11-15,116.900002,118.07,112.269997,112.339996,150158300
2015-11-22,115.760002,119.75,115.5,118.779999,89970500
2015-11-29,,,,,0
2015-12-06,115.290001,119.25,115.110001,119.029999,57777000
2015-12-13,117.639999,117.690002,112.849998,113.18,93247600
2015-12-20,112.18,112.800003,105.809998,106.029999,315106400
2015-12-27,107.279999,107.370003,105.57,107.330002,47590600
2016-01-03,,,,,0
2016-01-10,102.610001,105.849998,96.43,96.959999,343790200
2016-01-17,98.970001,101.190002,95.360001,97.129997,303513300
2016-01-24,98.410004,101.459999,93.419998,101.419998,243384100
2016-01-31,101.519997,101.529999,92.389999,97.339996,380336500
2016-02-07,95.0,97.330002,93.690002,94.019997,138854100
2016-02-14,93.129997,95.940002,92.589996,93.699997,148427300
2016-02-21,95.019997,98.209999,94.610001,98.120003,93921100
2016-02-28,,,,,0
2016-03-06,97.650002,103.75,97.419998,103.010002,96462200
2016-03-13,,,,,0
2016-03-20,106.339996,106.5,105.190002,105.919998,44205200
2016-03-27,,,,,0
2016-04-03,108.650002,110.419998,108.599998,109.559998,45601100
2016-04-10,,,,,0
2016-04-17,112.110001,112.300003,109.730003,109.849998,46939000
2016-04-24,108.889999,108.949997,106.940002,107.480003,60834000
2016-05-01,103.910004,105.300003,92.510002,93.739998,321392500
2016-05-08,93.970001,95.739998,91.849998,92.720001,148449600
2016-05-15,92.720001,92.779999,89.470001,90.519997,120707500
2016-05-22,92.389999,94.699997,91.650002,93.489998,108176700
2016-05-29,99.68,100.730003,98.639999,100.410004,56331200
2016-06-05,,,,,0
2016-06-12,,,,,0
2016-06-19,96.620003,96.650002,95.300003,95.330002,61008200
2016-06-26,92.910004,94.660004,92.650002,93.400002,75311400
2016-07-03,93.0,93.050003,91.5,92.040001,45489600
2016-07-10,,,,,0
2016-07-17,,,,,0
2016-07-24,,,,,0
2016-07-31,96.82,104.349998,96.419998,102.949997,148584600
2016-08-07,,,,,0
2016-08-14,,,,,0
2016-08-21,,,,,0
2016-08-28,,,,,0
2016-09-04,,,,,0
2016-09-11,107.25,107.269997,103.129997,103.129997,99559000
2016-09-18,102.650002,116.129997,102.529999,114.919998,388228200
2016-09-25,115.190002,116.18,111.550003,112.709999,99504200
2016-10-02,,,,,0
2016-10-09,,,,,0
2016-10-16,117.699997,118.690002,116.199997,116.300003,64041000
2016-10-23,,,,,0
2016-10-30,117.949997,118.360001,113.309998,115.589996,114263200
2016-11-06,113.459999,113.769997,110.529999,111.489998,43825800
2016-11-13,109.879997,111.32,105.830002,107.790001,116310900
2016-11-20,107.709999,110.230003,104.080002,109.989998,110016000
2016-11-27,,,,,0
2016-12-04,,,,,0
2016-12-11,,,,,0
2016-12-18,113.839996,116.730003,113.75,115.970001,134609400
2016-12-25,,,,,0
2017-01-01,,,,,0
2017-01-08,,,,,0
2017-01-15,,,,,0
2017-01-22,,,,,0
2017-01-29,,,,,0
2017-02-05,121.150002,130.490005,120.620003,128.75,161186000
